resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2017	TESTES DE ADERÊNCIA APLICADOS NO AJUSTAMENTO DA DISTRIBUIÇÃO NORMAL ÀS NOTAS MÉDIAS DE DUAS TURMAS	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA	ELESBAO, I. S. ; LISKA, G.R.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2017	ANÁLISE ESTATÍSTICA DAS ATIVIDADES DE MONITORIA DE UMA COMPONENTE CURRICULAR DO CAMPUS ITAQUI, UNIPAMPA	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA	PIEGAS, M. E. F. ; LISKA, G.R.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2017	TEORIA DE VALORES EXTREMOS APLICADA NA ANÁLISE DE EMPERATURA MÁXIMA EM URUGUAIANA, RS	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA	FERREIRA, R. V. C. ; LISKA, G.R.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do SIEPE. Bagé: UNIPAMPA
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2017	APLICAÇÃO DA TEORIA DE VALORES EXTREMOS AOS DADOS DE VELOCIDADE DE VENTO, EM URUGUAIANA, RS	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do 9º SIEPE. Bagé: UNIPAMPA	ANANIAS, D. R. S. ; LISKA, G.R.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Anais do 9º SIEPE. Bagé: UNIPAMPA
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2016	Descrição sensorial de cultivares resistentes à ferrugem Coffea arábica L. por meio de métodos de análise multivariada	22º SINAPE, 2016, Porto Alegre. Anais do 22º SINAPE	LISKA, G. R.; FASSIO, L. O. ; HUMADA, G. G. ; LISKA, E. R. ; CIRILLO, M. A. ; MALTA, M. R.	Qualis nao identificado	22º SINAPE, 2016, Porto Alegre. Anais do 22º SINAPE
resumoExpandidoEmCongresso	Gilberto Rodrigues Liska	2016	Aplicação da técnica Bootstrap na determinação do tamanho ótimo de parcela em experimento com soja	22º SINAPE, 2016, Porto Alegre. Anais do 22º SINAPE	HUMADA, G. G. ; MORAIS, A. R. ; BRUZI, A. T. ; LISKA, G. R. ; SILVA, C.	Qualis nao identificado	22º SINAPE, 2016, Porto Alegre. Anais do 22º SINAPE
artigoEmPeriodico	Joacir Marques da Costa	2018	1809-3876		Diversidade e In/Exclusão: vozes e silêncios na formação do/a pedagogo/a	REVISTA E-CURRICULUM (PUCSP)	COSTA, J. M.; DALLA CORTE, M. G. ; SILVA, L. G.	A2	
resumoExpandidoEmCongresso	Joacir Marques da Costa	2016	Curso Normal e Conhecimento Matemático: processos formativos em debate	Salão Internacional de Ensino, Pesquisa e Extensão, 2016, Uruguaiana. Salão Internacional de Ensino, Pesquisa e Extensão (ISSN: 2317-3203)	CERETA, A. S. ; COSTA, J. M.	Qualis nao identificado	Salão Internacional de Ensino, Pesquisa e Extensão, 2016, Uruguaiana. Salão Internacional de Ensino, Pesquisa e Extensão (ISSN: 2317-3203)
trabalhoCompletoEmCongresso	Karla Beatriz Vivian Silveira	2016		Equações Diferenciais e o Modelo Matemático do Número de Acadêmicos Evadidos no Curso de Agronomia	XXII Encontro Regional de Estudantes de Matemática do Sul	REUSE, J. S. ; HAJAR, E. S. A. ; SILVEIRA, K. B. V.	Qualis nao identificado	XXII Encontro Regional de Estudantes de Matemática do Sul
trabalhoCompletoEmCongresso	Karla Beatriz Vivian Silveira	2016		Mortes Provocadas por Aids: uma Análise Tendencial em Âmbito Brasileiro via Mínimos Quadrados	XXII Encontro Regional de Estudantes de Matemática do Sul	DIAS, N. C. ; ALDERETE, A. C. ; SILVEIRA, K. B. V. ; DELATORRE, L. G.	Qualis nao identificado	XXII Encontro Regional de Estudantes de Matemática do Sul
resumoExpandidoEmCongresso	Karla Beatriz Vivian Silveira	2017	REGRA DE L?HÔPITAL: RESOLUÇÃO DE LIMITES DE FUNÇÕES	9º Salão Internacional de Ensino, Pesquisa e Extensão Unipampa, 2017, Santana do Livramento. Iniciação Científica | Pesquisa | Apresentação Oral	SOARES, A. T. ; SILVEIRA, K. B. V.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão Unipampa, 2017, Santana do Livramento. Iniciação Científica | Pesquisa | Apresentação Oral
resumoExpandidoEmCongresso	Karla Beatriz Vivian Silveira	2017	LÚDICO: JOGOS PARA O ESTUDO E FIXAÇÃO DE CONTEÚDOS	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Iniciação Científica | Extensão | Apresentação Pôster	AMARAL, D. M. V. ; SILVEIRA, K. B. V.	Qualis nao identificado	9º Salão Internacional de Ensino, Pesquisa e Extensão, 2017, Santana do Livramento. Iniciação Científica | Extensão | Apresentação Pôster
