artigoEmPeriodico	Analia Del Valle Garnero	2016	1982-873X	http://dx.doi.org/10.3895/rbect.v9n3.3798	?Jogo da velha mendeliano?: uma atividade lúdica para o ensino de Genética	REVISTA BRASILEIRA DE ENSINO DE CIÊNCIA E TECNOLOGIA	BERTOCCHI, N. A. ; Degrandi, T. M. ; OLIVEIRA, T. D. ; GUNSKI, Ricardo José ; GARNERO, A. del V.	B2	
artigoEmPeriodico	Analia Del Valle Garnero	0	0024-4066	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1111/bij.12504&md5=839f1790504d47db8792bf558fc1a5f9	Chromosome mapping of the large elaenia ( <i>E</i> <i>laenia spectabilis</i> ): evidence for a cytogenetic signature for passeriform birds?	Biological Journal of the Linnean Society	KRETSCHMER, RAFAEL ; DE OLIVEIRA, EDIVALDO HERCULANO CORREA ; DOS SANTOS, MICHELLY S. ; FURO, IVANETE DE OLIVEIRA ; O'BRIEN, PATRICIA C. M. ; FERGUSON-SMITH, MALCOLM A. ; Garnero, Analía del Valle ; GUNSKI, Ricardo José	Qualis nao identificado	Biological Journal of the Linnean Society
artigoEmPeriodico	Analia Del Valle Garnero	0	1573-6857	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1007/s10709-015-9851-4&md5=40e883a1bf3bb50d1ecc9505f4fcd6ef	Intrachromosomal rearrangements in two representatives of the genus Saltator (Thraupidae, Passeriformes) and the occurrence of heteromorphic Z chromosomes	GENETICA (DORDRECHT. ONLINE)	DOS SANTOS, MICHELLY DA SILVA ; KRETSCHMER, RAFAEL ; SILVA, FABIO AUGUSTO OLIVEIRA ; LEDESMA, Mario Angel ; O?BRIEN, PATRICIA C. M. ; FERGUSON-SMITH, MALCOLM A. ; DEL VALLE GARNERO, ANALÍA ; DE OLIVEIRA, EDIVALDO HERCULANO CORRÊA ; GUNSKI, Ricardo José	Qualis nao identificado	GENETICA (DORDRECHT. ONLINE)
artigoEmPeriodico	Analia Del Valle Garnero	0	1677-2318		Twister Proteico: uma ferramenta lúdica envolvendo a síntese de proteínas	Revista Brasileira de Ensino de Bioquímica e Biologia Molecular	WEYH, A. ; CARVALHO, I. G. B. ; GARNERO, A. del V.	Qualis nao identificado	Revista Brasileira de Ensino de Bioquímica e Biologia Molecular
artigoEmPeriodico	Analia Del Valle Garnero	0	1415-4757	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1590/s1415-47572014000300009&md5=4b5a1ecaea5c8aa4f95da4e830931120	Karyotypic evolution of ribosomal sites in buffalo subspecies and their crossbreed	Genetics and Molecular Biology (Impresso)	Degrandi, T. M. ; MIMBACAS, S. P. ; PANZERA, Y. ; OLIVEIRA, E. H. C. ; MARQUES, J.R.F. ; MARQUES, L ; VINADE, L. ; GUNSKI, RICARDO ; Garnero, Analia Del V.	Qualis nao identificado	Genetics and Molecular Biology (Impresso)
artigoEmPeriodico	Analia Del Valle Garnero	0	1932-6203	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1371/journal.pone.0103338&md5=bc92fe7b28fcff8df726b1d8897619ba	Molecular Cytogenetic Characterization of Multiple Intrachromosomal Rearrangements in Two Representatives of the Genus Turdus (Turdidae, Passeriformes)	Plos One	KRETSCHMER, RAFAEL ; GUNSKI, RICARDO ; GARNERO, A. del V. ; FURO, I. O. ; OBRIEN, P. C. ; FERGUSON-SMITH ; OLIVEIRA, E. H. C.	Qualis nao identificado	Plos One
artigoEmPeriodico	Analia Del Valle Garnero	0	2179-4804	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=null&md5=f8a2d9f8af7e0fb17f9968fbbee28b49	Cytogenetic identification of four generations of crossbred buffaloes maintained in a conservation program in the Marajó island/Brazil	Journal of Biotechnology and Biodiversity	Degrandi, T. M. ; MARQUES, J. R. F. ; GUNSKI, Ricardo José ; Costa, MR ; MARQUES, L. C. ; FIGUEIRO, M. R. ; VINADE, L. ; GARNERO, Analía	Qualis nao identificado	Journal of Biotechnology and Biodiversity
artigoEmPeriodico	Analia Del Valle Garnero	0	1415-4757	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=null&md5=f8a2d9f8af7e0fb17f9968fbbee28b49	Nucleolar organizer regions in Sittasomus griseicapillus and Lepidocolaptes angustirostris (Aves, Dendrocolaptidae): evidence of a chromosome inversion	Genetics and Molecular Biology (Impresso)	BARBOSA, MARCELO DE OLIVEIRA ; SILVA, RUBENS RODRIGUES DA ; CORREIA, VANESSA CAROLINA DE SENA ; SANTOS, Luana Pereira dos ; Garnero, Analía del Valle ; GUNSKI, Ricardo José	Qualis nao identificado	Genetics and Molecular Biology (Impresso)
artigoEmPeriodico	Analia Del Valle Garnero	0	1415-4757	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1590/s1415-47572013005000029&md5=d03e341facb77d369a820016313b6006	Cytogenetic comparison of Podocnemis expansa and Podocnemis unifilis: a case of inversion and duplication involving constitutive heterochromatin	Genetics and Molecular Biology (Impresso)	GUNSKI, Ricardo José ; CUNHA, Isabel Souza ; LEDESMA, Mario Angel ; Degrandi, T. M. ; Garnero, Analía del Valle	Qualis nao identificado	Genetics and Molecular Biology (Impresso)
artigoEmPeriodico	Analia Del Valle Garnero	0	0103-8478	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1590/s0103-84782013005000029&md5=524af7c2d1479733c1537fdb1a9bfe4d	Inferência bayesiana aplicada à estimação de herdabilidades dos parâmetros da curva de crescimento de fêmeas da raça Nelore	Ciência Rural (UFSM. Impresso)	Garnero, Analía del Valle; Marcondes, Cintia Righetti ; Araújo, Ronyere Olegário de ; OLIVEIRA, Henrique Nunes de ; LÔBO, Raysildo Barbosa	Qualis nao identificado	Ciência Rural (UFSM. Impresso)
artigoEmPeriodico	Analia Del Valle Garnero	0	0103-8478	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1590/s0103-84782012000300022&md5=aa74a90511417a4d1511198e2bdaa902	Classical nonlinear models to describe the growth curve for Murrah buffalo breed	Ciência Rural (UFSM. Impresso)	Araújo, Ronyere Olegário de ; Marcondes, Cintia Righetti ; Damé, Maria Cecília Florisbal ; Garnero, Analía del Valle ; GUNSKI, Ricardo José ; Everling, Dionéia Magda ; Rorato, Paulo Roberto Nogara	Qualis nao identificado	Ciência Rural (UFSM. Impresso)
artigoEmPeriodico	Analia Del Valle Garnero	0	1993-0771	http://dx.doi.org/10.3897/compcytogen.v6i4.3422	Karyotype morphology suggests that the Nyctibius griseus (Gmelin, 1789) carries an ancestral ZW-chromosome pair to the order Caprimulgiformes (Aves)	Comparative Cytogenetics (Print)	NIETO, LEONARDO ; KRETSCHMER, RAFAEL ; LEDESMA, MARIO ; GARNERO, Analía ; GUNSKI, RICARDO	Qualis nao identificado	Comparative Cytogenetics (Print)
artigoEmPeriodico	Analia Del Valle Garnero	0	0100-204X	http://www.scopus.com/scopus/inward/citedby.url?partnerID=bb5nvXTn&rel=R6.0.0&doi=10.1590/s0100-204x2012000800007&md5=d57f51bec6acf8ea4e8c889b51c77a88	Abordagem bayesiana multivariada para características de crescimento, fertilidade e escores visuais de rebanhos da raça Brangus	Pesquisa Agropecuária Brasileira (1977. Impressa)	Araújo, Ronyere Olegário de ; Marcondes, Cintia Righetti ; Everling, Dionéia Magda ; WEBER, TOMÁS ; LOPES, JADER SILVA ; Garnero, Analía del Valle ; GUNSKI, Ricardo José ; Rorato, Paulo Roberto Nogara	B3	PESQUISA AGROPECUÁRIA BRASILEIRA (1977. IMPRESSA)
