artigoEmPeriodico	 	2018	0048-9697	http://dx.doi.org/10.1016/j.scitotenv.2017.08.040	Combination of experimental and in silico methods for the assessment of the phototransformation products of the antipsychotic drug/metabolite Mesoridazine	SCIENCE OF THE TOTAL ENVIRONMENT	WILDE, MARCELO L.; MENZ, JAKOB ; LEDER, CHRISTOPH ; KÜMMERER, KLAUS	Qualis nao identificado	SCIENCE OF THE TOTAL ENVIRONMENT
artigoEmPeriodico	 	2017	2448-3583		OS FÓRUNS COMO ESTRATÉGIA DIDÁTICA PARA A CONSTRUÇÃO DO CONHECIMENTO	Educação&Formação	BIERHALZ, Crisna Daniela K.; FELCHER, C. D. O. ; DIAS, L. F.	Qualis nao identificado	Educação&Formação
artigoEmPeriodico	 	2017	1981-1969		contribuição da universidade pública para o desenvolvimento da sociedade brasileira: o caso da Universidade Multicampi na região do Pampa Gaúcho	JORNAL DE POLÍTICAS EDUCACIONAIS	BRIZOLLA, F.; LUZ, A. S. ; GARCIA, C. A. X.	B1	
artigoEmPeriodico	 	2017	0212-4521		Uma abordagem centrada no aluno em Bioquímica: estudo sobre a avaliação da qualidade do ensino	Ensenanza de Las Ciencias	CICUTO, C. A. T.; TORRES, B. B.	A1	ENSEÑANZA DE LAS CIENCIAS
artigoEmPeriodico	 	2017	0212-4521		Ambiente de aprendizagem centrado no aluno: um estudo sobre expectativas	Ensenanza de Las Ciencias	CICUTO, C. A. T.; TORRES, B. B.	A1	ENSEÑANZA DE LAS CIENCIAS
artigoEmPeriodico	 	2017	1516-7313	http://dx.doi.org/10.1590/1516-731320170030016	Análise de currículos de ciências à luz da teoria de Bernstein	Ciência e Educação (UNESP)	COELHO, FRANCIELE BRAZ DE OLIVEIRA	A1	CIÊNCIA E EDUCAÇÃO (UNESP)
artigoEmPeriodico	 	2017	1981-1764		Gestão ambiental na escola: Estratégias pedagógicas para a formação docente e discente	REVISTA BRASILEIRA DE EDUCAÇÃO AMBIENTAL (ONLINE)	COUTINHO, C.; MORO, C. F. S. ; SOARES GUERIN, CINTIA	B3	
artigoEmPeriodico	 	2017	2448-4148		Metodologias ativas de aprendizagem e o ensino de Ciências	Multiciência Online	COUTINHO, C.; NASCIMENTO, T. E.	Qualis nao identificado	Multiciência Online
artigoEmPeriodico	 	2017	1809-1636		REFLEXÕES SOBRE A DIMENSÃO E OS ASPECTOS PEDAGÓGICOS DA EDUCAÇÃO AMBIENTAL EM UM GRUPO DE EDUCADORES	VIVÊNCIAS (URI. ERECHIM)	COUTINHO, C.; RUPPENTHAL, R. ; LANCANOVA, A. R. ; ADAIME, M. B.	B5	
artigoEmPeriodico	 	2017	1808-2688		La identificacion de Cypella exilis Ravenna (Iridaceae)	Balduinia (UFSM)	DEBLE, L. P	Qualis nao identificado	Balduinia (UFSM)
artigoEmPeriodico	 	2017	1808-2688		The type of Cypella herbertii subsp. brevicristata Ravenna (Iridaceae; Tigridieae)	Balduinia (UFSM)	DEBLE, L. P.; ALVES, F. S.	Qualis nao identificado	Balduinia (UFSM)
artigoEmPeriodico	 	2017	0075-5973		Taxonomic novelties for the genus Cypella (Iridaceae): new species, synonymies and nomenclatural types	Kew Bulletin	DEBLE, L. P.; ALVES, F. S.	Qualis nao identificado	Kew Bulletin
artigoEmPeriodico	 	2017	1809-1636		A utilização de Atividades Experimentais como estratégia didático-metodológica: um olhar para o ensino de Hidrodinâmica	VIVÊNCIAS (URI. ERECHIM)	DIAS, F. F.; CARVALHO, M. L. C. ; VIEIRA, M. ; LUDKE, E.	B5	
artigoEmPeriodico	 	2017	2177-6954		POSSÍVEIS RECONFIGURAÇÕES PARA UMA ?AULA DIFERENTE? NA PERSPECTIVA DA EDUCAÇÃO INTEGR	Informe C3	DIAS, L. F. ; VIANNA, N. S. ; OLIVEIRA, C. A. I. ; BIERHALZ, Crisna Daniela K.	Qualis nao identificado	Informe C3
artigoEmPeriodico	 	2017	2174-6486		Controvérsias sociocientíficas e projetos integrados: condicionantes e potencialidades para o ensino de ciências	Ensenanza de las ciencias	DUSO, Leandro; MAESTRELLI, S. R. P.	A1	ENSEÑANZA DE LAS CIENCIAS
artigoEmPeriodico	 	2017	1809-1636		UMA INVESTIGAÇÃO SOBRE AS POSSIBILIDADES DE ENSINO DE GENÉTICA DE POPULAÇÕES NO ENSINO MÉDIO	VIVÊNCIAS (URI. ERECHIM)	FLORES, A. L. D. ; COUTINHO, C.	B5	
artigoEmPeriodico	 	2017	1809-3264		Professores de ciências da natureza: levantamento sobre a formação continuada da rede municipal de Dom Pedrito/RS	Revista Querubim (Online)	FONSECA. Eril M. ; BIERHALZ, Crisna Daniela K. ; DUSO, L.	B3	REVISTA QUERUBIM (ONLINE)
artigoEmPeriodico	 	2017	2525-4863		Discutindo a temática agrotóxicos: uma abordagem por meio das controvérsias sociocientíficas	Revista Brasileira de Educação do Campo	FONSECA, E. M. ; DUSO, Leandro ; HOFFMANN, M. B.	B2	REVISTA BRASILEIRA DE EDUCAÇÃO DO CAMPO
artigoEmPeriodico	 	2017	0103-8699		The effects of the culture media components by in vitro multiplication of 'Mr. S. 2/5' rootstock	CIENCIA AGRICOLA (UFAL)	GALLO, C. M. ; RADMANN, E. B. ; RITTERBUSCH, C. W. ; FEIJÓ, A. da R. ; BIANCHI, V. J. ; PETERS, J. A.	Qualis nao identificado	CIENCIA AGRICOLA (UFAL)
artigoEmPeriodico	 	2017	1806-9657		Aggregate Stability in Soil with Humic and Histic Horizons in a Toposequence under Araucaria Forest	REVISTA BRASILEIRA DE CIÊNCIA DO SOLO (ONLINE)	HANKE, D.; DICK, D. P.	A2	REVISTA BRASILEIRA DE CIÊNCIAS DO ESPORTE (ONLINE)
